10 1月 2026 16:08:50
Time (ms),HR (bpm),R-R (ms)
679771,75,848
680638,75,867
681513,75,875
682395,75,882
683288,75,893
684211,74,923
685075,73,864
685965,73,890
686840,72,875
687698,71,858
688540,71,842
689362,70,822
690170,70,808
690970,70,800
691771,70,801
692553,70,782
693334,71,781
694106,71,772
694869,71,763
695638,72,769
696412,74,774
697189,74,777
697998,75,809
698816,76,818
699650,76,834
700505,77,855
701363,77,858
702227,77,864
703112,77,885
704001,76,889
704896,76,895
705786,75,890
706680,73,894
707568,73,888
708445,72,877
709311,71,866
710155,71,844
710983,70,828
711802,69,819
712603,69,801
713397,69,794
714151,70,754
714930,71,779
715651,71,721
716400,71,749
717160,72,760
717944,74,784
718745,74,801
719554,75,809
720401,76,847
721230,77,829
722074,78,844
722931,78,857
723755,78,824
724632,77,877
725461,77,829
726340,76,879
727197,75,857
728061,75,864
728914,74,853
729749,73,835
730557,73,808
731358,72,801
732136,72,778
732900,72,764
733640,72,740
734407,73,767
735121,73,714
735866,73,745
736654,74,788
737496,76,842
738292,76,796
739121,77,829
739962,77,841
740795,78,833
741647,78,852
742506,77,859
743361,77,855
744255,77,894
745106,76,851
745961,75,855
746812,74,851
747637,73,825
748472,73,835
749245,72,773
750028,72,783
750788,72,760
751526,72,738
752240,72,714
752951,73,711
753678,73,727
754357,74,679
755098,76,741
755845,78,747
756594,78,749
757396,79,802
758207,80,811
759061,81,854
759873,82,812
760728,82,855
761574,81,846
762440,81,866
763285,80,845
764121,78,836
764945,78,824
765759,76,814
766557,75,798
767349,74,792
768123,73,774
768885,73,762
769647,73,762
770398,74,751
771135,75,737
771884,75,749
772631,75,747
773395,76,764
774183,78,788
775023,78,840
775850,78,827
776671,79,821
777523,79,852
778398,78,875
779243,78,845
780107,78,864
780938,77,831
781818,76,880
782640,76,822
783481,74,841
784340,74,859
785173,73,833
785964,73,791
786767,72,803
787564,72,797
788337,72,773
789097,72,760
789883,73,786
790648,74,765
791409,74,761
792214,74,805
793040,75,826
793893,75,853
794760,76,867
795636,76,876
796521,76,885
797390,76,869
798308,76,918
799172,75,864
800080,74,908
800921,73,841
801765,73,844
802601,72,836
803413,71,812
804224,71,811
805031,70,807
805822,70,791
806591,70,769
807354,71,763
808120,72,766
808899,72,779
809718,73,819
810513,74,795
811355,74,842
812222,76,867
813048,76,826
813921,76,873
814780,76,859
815674,76,894
816520,75,846
817409,75,889
818263,74,854
819153,74,890
819985,73,832
820849,72,864
821642,71,793
822450,71,808
823255,71,805
824050,71,795
824820,71,770
